,AAPL,MSFT,NVDA
12/06/2015,28.55057526,40.01340485,0.510969996
15/06/2015,28.49443817,39.5868988,0.510001838
16/06/2015,28.64710236,39.89155197,0.516295135
17/06/2015,28.57975578,40.01340485,0.522346139
18/06/2015,28.70997429,40.6662178,0.53106004
19/06/2015,28.42259789,40.12656403,0.529365778
22/06/2015,28.64934731,40.23971176,0.527187288
23/06/2015,28.51913643,39.96118546,0.513632298
24/06/2015,28.76160622,39.72616196,0.508549273
25/06/2015,28.62465286,39.7348671,0.512422144
26/06/2015,28.45627403,39.39539719,0.502013922
29/06/2015,27.95786858,38.62070847,0.487006754
30/06/2015,28.15992928,38.42923355,0.486764759
01/07/2015,28.42259789,38.69034958,0.493784308
02/07/2015,28.38667679,38.64683533,0.494268268
06/07/2015,28.28789711,38.638134,0.488217026
07/07/2015,28.21830177,38.55979156,0.479019105
08/07/2015,27.51783562,38.50756836,0.475630403
09/07/2015,26.95656586,38.75128555,0.469821125
10/07/2015,27.67723656,38.82963181,0.478050888
13/07/2015,28.2115593,39.63912201,0.481197596
14/07/2015,28.20033455,39.70874786,0.481439561
15/07/2015,28.47199249,39.83060837,0.478050888
16/07/2015,28.85140419,40.61399841,0.488701195
17/07/2015,29.10061264,40.57918167,0.485796571
20/07/2015,29.65065956,40.84030533,0.476840615
21/07/2015,29.35429764,41.15365219,0.479019105
22/07/2015,28.11277771,39.63912201,0.469821125
23/07/2015,28.09930801,40.13525391,0.475630403
24/07/2015,27.95113564,39.98729324,0.47006318
27/07/2015,27.56273651,39.47373581,0.46740067
28/07/2015,27.69968796,39.46504211,0.477566868
29/07/2015,27.61213303,40.2919426,0.483376056
30/07/2015,27.47293663,40.80550003,0.484586239
31/07/2015,27.2327137,40.64881516,0.482891977
03/08/2015,26.59061813,40.74456024,0.49112159
04/08/2015,25.73749542,41.37997055,0.493057966
05/08/2015,25.90812111,41.41478729,0.49814111
06/08/2015,25.96450424,40.57918167,0.494994521
07/08/2015,26.05244827,40.68362808,0.556233406
10/08/2015,26.99965477,41.19717789,0.575597465
11/08/2015,25.59464264,40.39639282,0.572692692
12/08/2015,25.9893055,40.68362808,0.574145138
13/08/2015,25.96901321,40.67493439,0.569303989
14/08/2015,26.15168953,40.90993118,0.569788337
17/08/2015,26.42231369,41.18848419,0.566157401
18/08/2015,26.27347183,41.41627884,0.561004639
19/08/2015,25.93743896,40.83800125,0.558816791
20/08/2015,25.40519714,40.00564957,0.538642228
21/08/2015,23.85134888,37.73638153,0.521870315
24/08/2015,23.25597191,36.51852036,0.503397107
25/08/2015,23.39579201,35.45836258,0.492944986
26/08/2015,24.73765182,37.42097092,0.530134499
27/08/2015,25.46609306,38.46360397,0.550066411
28/08/2015,25.54954147,38.48989487,0.55249697
31/08/2015,25.43001556,38.13066101,0.546420336
01/09/2015,24.29336739,36.64117813,0.524057746
02/09/2015,25.33529472,37.99048996,0.539857268
03/09/2015,24.89101028,38.11313629,0.541315854
04/09/2015,24.64292717,37.33335876,0.528676093
08/09/2015,25.32852745,38.45484543,0.551281512
09/09/2015,24.84139061,37.73638153,0.540343523
10/09/2015,25.38716125,37.929142,0.548850894
11/09/2015,25.75701904,38.0956192,0.550552309
14/09/2015,26.00509453,37.71009445,0.551524758
15/09/2015,26.22385025,38.53369904,0.557601452
16/09/2015,26.25317192,38.81407547,0.561490595
17/09/2015,25.69161415,38.77026367,0.566594899
18/09/2015,25.58561897,38.0956192,0.566108823
21/09/2015,25.98254013,38.6476059,0.571942508
22/09/2015,25.57435226,38.46360397,0.556386173
23/09/2015,25.78182602,38.43733215,0.559059978
24/09/2015,25.93518257,38.47237396,0.569755137
25/09/2015,25.8697834,38.49865341,0.573887169
28/09/2015,25.35784149,37.929142,0.56635201
29/09/2015,24.59557915,38.06057358,0.576317728
30/09/2015,24.87522125,38.77903748,0.599166572
01/10/2015,24.71284866,39.08568573,0.587499022
02/10/2015,24.89326668,39.92681122,0.602812469
05/10/2015,24.98347282,40.85553741,0.617882669
06/10/2015,25.10299683,40.96066666,0.625904083
07/10/2015,24.98347282,41.00448227,0.632466912
08/10/2015,24.6947937,41.57399368,0.636112928
09/10/2015,25.28568077,41.27607727,0.633682191
12/10/2015,25.16840172,41.17971039,0.640488088
13/10/2015,25.21125221,41.08334732,0.641703486
14/10/2015,24.85492325,40.89933777,0.665038109
15/10/2015,25.22703743,41.18847656,0.666739523
16/10/2015,25.04211617,41.62655258,0.677191675
19/10/2015,25.1977253,41.72294235,0.675975978
20/10/2015,25.65778923,41.8543663,0.675004005
21/10/2015,25.65553093,41.35493851,0.666253388
22/10/2015,26.04794312,42.08216858,0.690317392
23/10/2015,26.85532188,46.32279968,0.694935918
26/10/2015,25.99832726,47.53190231,0.691775978
27/10/2015,25.83369255,47.04125214,0.691289663
28/10/2015,26.89816284,47.29534149,0.6968804
29/10/2015,27.18232536,46.75210953,0.672816455
30/10/2015,26.9500351,46.12128448,0.689588189
02/11/2015,27.32891655,46.64699173,0.697609425
03/11/2015,27.64239311,47.44428253,0.69274801
04/11/2015,27.51384354,47.66333771,0.681323647
05/11/2015,27.38701248,47.64580154,0.673545539
06/11/2015,27.41871262,48.11893082,0.766884208
09/11/2015,27.30774307,47.45305634,0.763481379
10/11/2015,26.44708061,46.88353729,0.748897254
11/11/2015,26.2976017,47.00619507,0.741604984
12/11/2015,26.20927238,46.71706772,0.738931298
13/11/2015,25.44374084,46.29650497,0.724347115
16/11/2015,25.86047554,47.1113472,0.738931298
17/11/2015,25.74949646,46.72323608,0.738931298
18/11/2015,26.5648613,47.49945068,0.757108748
19/11/2015,26.90232658,47.57883835,0.759304881
20/11/2015,27.02010155,47.799366,0.765892267
23/11/2015,26.66904068,47.799366,0.754424632
24/11/2015,26.92497444,47.85229874,0.760524631
25/11/2015,26.73246193,47.35833359,0.759548545
27/11/2015,26.68262863,47.57001114,0.765892267
30/11/2015,26.79361534,47.94047928,0.773944378
01/12/2015,26.5761776,48.70789719,0.799075365
02/12/2015,26.33610344,48.69906998,0.792975664
03/12/2015,26.09149551,47.80819321,0.791267753
04/12/2015,26.95894623,49.31651688,0.823474586
07/12/2015,26.78907967,49.22831726,0.807859123
08/12/2015,26.77775192,49.21067429,0.818838954
09/12/2015,26.18661308,48.49619293,0.798099399
10/12/2015,26.31118393,48.75200272,0.804687381
11/12/2015,25.63399506,47.68468857,0.792731643
14/12/2015,25.4754467,48.63732529,0.794683635
15/12/2015,25.0247345,48.69025803,0.80444324
16/12/2015,25.2172451,49.51056671,0.809323013
17/12/2015,24.68273735,49.13128662,0.797123492
18/12/2015,24.01459694,47.74644852,0.784191847
21/12/2015,24.30902672,48.3638916,0.802735507
22/12/2015,24.28638077,48.82255936,0.803467393
23/12/2015,24.59893799,49.23713684,0.806639314
24/12/2015,24.46757317,49.10481644,0.809323013
28/12/2015,24.19351959,49.35179901,0.808591187
29/12/2015,24.62837219,49.88105392,0.821766794
30/12/2015,24.30676079,49.66934967,0.814690948
31/12/2015,23.84019852,48.9372406,0.804199159
04/01/2016,23.86058426,48.33742905,0.789803684
05/01/2016,23.26265717,48.55794144,0.802491248
06/01/2016,22.80741119,47.67585754,0.769308567
07/01/2016,21.84483147,46.01757431,0.738809168
08/01/2016,21.96034431,46.15871429,0.722949862
11/01/2016,22.31592941,46.13224411,0.724169552
12/01/2016,22.63981056,46.55563736,0.736369312
13/01/2016,22.05773354,45.55008316,0.713922083
14/01/2016,22.54015732,46.84672165,0.699526489
15/01/2016,21.99884415,44.97673416,0.661463559
19/01/2016,21.89239883,44.59745026,0.666831493
20/01/2016,21.92183495,44.80032349,0.670491338
21/01/2016,21.81085205,44.52688217,0.678299129
22/01/2016,22.97047997,46.12342834,0.694158852
25/01/2016,22.52203941,45.68239975,0.693426788
26/01/2016,22.64660263,46.01757431,0.700258493
27/01/2016,21.15857506,45.17960739,0.691962719
28/01/2016,21.31031418,45.92056274,0.684399128
29/01/2016,22.04641342,48.59322357,0.714653909
01/02/2016,21.84030342,48.25803375,0.71489799
02/02/2016,21.39865303,46.74970245,0.684642971
03/02/2016,21.82218742,46.00876617,0.688058913
04/02/2016,21.99752808,45.86762619,0.688302875
05/02/2016,21.41001129,44.24461746,0.644872189
08/02/2016,21.63545227,43.58306122,0.615349174
09/02/2016,21.63090134,43.46839523,0.621936798
10/02/2016,21.46694183,43.84769821,0.620472848
11/02/2016,21.33715057,43.83004761,0.617301106
12/02/2016,21.40318298,44.54452515,0.627792716
16/02/2016,22.00663567,45.38850021,0.658535779
17/02/2016,22.34365845,46.57008362,0.674883127
18/02/2016,21.92010117,46.36575699,0.732953429
19/02/2016,21.87000465,46.03704453,0.742713153
22/02/2016,22.06128883,46.77441025,0.769064486
23/02/2016,21.56258583,45.46846008,0.7710163
24/02/2016,21.8836689,45.62836838,0.776384175
25/02/2016,22.03396034,46.28578949,0.778092086
26/02/2016,22.06812096,45.57507324,0.772968113
29/02/2016,22.01802254,45.20193863,0.767948151
01/03/2016,22.89245796,46.71222305,0.801986635
02/03/2016,22.94255257,47.04094315,0.806639373
03/03/2016,23.11334038,46.50790024,0.799538016
04/03/2016,23.45719337,46.22360611,0.7970891
07/03/2016,23.19760132,45.33520126,0.791946471
08/03/2016,23.00631332,45.88600159,0.777498484
09/03/2016,23.02681923,46.94321442,0.777008832
10/03/2016,23.03819656,46.24137497,0.775784254
11/03/2016,23.28640938,47.14754486,0.78900826
14/03/2016,23.34562111,47.23638153,0.790966988
15/03/2016,23.81471443,47.60951996,0.787048876
16/03/2016,24.13124084,48.28469086,0.810557425
17/03/2016,24.0925293,48.56010818,0.803700686
18/03/2016,24.11985207,47.52067184,0.827944219
21/03/2016,24.11757469,47.84937286,0.830393016
22/03/2016,24.30203247,48.03594971,0.828923643
23/03/2016,24.16768074,47.94710922,0.843126774
24/03/2016,24.06292725,48.16031647,0.844351172
28/03/2016,23.95361519,47.56510925,0.852922082
29/03/2016,24.52063751,48.60453033,0.866635323
30/03/2016,24.94874382,48.90658569,0.875696123
31/03/2016,24.81894684,49.06648254,0.872512519
01/04/2016,25.04666901,49.36854935,0.885246217
04/04/2016,25.3039875,49.24419022,0.876675606
05/04/2016,25.00567627,48.47127533,0.875451088
06/04/2016,25.26755142,48.96877289,0.876675606
07/04/2016,24.71647453,48.38242722,0.867614746
08/04/2016,24.74380493,48.34688568,0.873247206
11/04/2016,24.82577705,48.24917221,0.878634512
12/04/2016,25.1491394,48.55122375,0.877655208
13/04/2016,25.51348305,49.17309952,0.899694443
14/04/2016,25.52714729,49.18198776,0.9021433
15/04/2016,25.01478386,49.43961716,0.909244657
18/04/2016,24.47510147,50.15922165,0.905326843
19/04/2016,24.34529495,50.09704208,0.889164746
20/04/2016,24.39539528,49.38631821,0.892592907
21/04/2016,24.13124084,49.55511475,0.891613424
22/04/2016,24.06520081,46.00150299,0.888185024
25/04/2016,23.9285717,46.29467392,0.892592907
26/04/2016,23.76233864,45.69944,0.893327475
27/04/2016,22.27533722,45.25524902,0.913652599
28/04/2016,21.59446526,44.33130646,0.886470795
29/04/2016,21.34625435,44.30465698,0.870063722
02/05/2016,21.32348442,44.96207428,0.88157326
03/05/2016,21.67417145,44.22469711,0.871043086
04/05/2016,21.44872665,44.30465698,0.851207912
05/05/2016,21.36166763,44.36684036,0.856350243
06/05/2016,21.24253082,44.76661301,0.865165949
09/05/2016,21.25857353,44.48233414,0.863941729
10/05/2016,21.40291214,45.32632065,0.880593598
11/05/2016,21.19441986,45.35297012,0.883042455
12/05/2016,20.69726563,45.76163101,0.871043086
13/05/2016,20.73850632,45.37962341,1.003524184
16/05/2016,21.50829697,46.04593658,1.033154488
17/05/2016,21.41894341,45.18709946,1.035358906
18/05/2016,21.66408539,45.45547867,1.061805844
19/05/2016,21.58159828,45.01712418,1.066458702
20/05/2016,21.81529427,45.28549957,1.085559368
23/05/2016,22.09251404,44.75767899,1.087273955
24/05/2016,22.42929268,46.15328979,1.113666534
25/05/2016,22.82335091,46.62742233,1.109001517
26/05/2016,23.00434685,46.42166138,1.120786428
27/05/2016,22.99059486,46.80634308,1.126924753
31/05/2016,22.87833405,47.41469955,1.147057056
